Script started on Tue Mar  3 22:53:13 2015
[?1034hbash-3.2$ java Pizzeria
Wartezeit für Erzeuger? (0 für jedes Mal eine neue zufällige Wartezeit) 1
Wie viele Verbraucher? 6
Wartezeit für Verbraucher 1? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wartezeit für Verbraucher 2? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wartezeit für Verbraucher 3? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wartezeit für Verbraucher 4? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wartezeit für Verbraucher 5? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Wartezeit für Verbraucher 6? (0 für jedes Mal eine neue zufällige Wartezeit) 0
Pizzeria JAV02 hat geöffnet.
E (  1sek):    0 |               |
V6(  2sek):    0 |               |
E (  1sek):    0 |               |
E (  1sek):    1 |*              |
V2(  6sek):    1 |*              |
E (  1sek):    1 |*              |
V3(  8sek):    2 |**             |
E (  1sek):    1 |*              |
V6(  5sek):    1 |*              |
E (  1sek):    1 |*              |
E (  1sek):    2 |**             |
V6(  3sek):    3 |***            |
E (  1sek):    2 |**             |
V1( 12sek):    2 |**             |
E (  1sek):    2 |**             |
V5( 13sek):    2 |**             |
V6(  3sek):    2 |**             |
E (  1sek):    2 |**             |
V4( 14sek):    2 |**             |
E (  1sek):    1 |*              |
V3( 10sek):    2 |**             |
V5(  3sek):    2 |**             |
E (  1sek):    2 |**             |
E (  1sek):    1 |*              |
V4(  5sek):    2 |**             |
V2( 14sek):    2 |**             |
E (  1sek):    2 |**             |
V6(  6sek):    2 |**             |
E (  1sek):    0 |               |
E (  1sek):    1 |*              |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
V3(  9sek):    3 |***            |
E (  1sek):    3 |***            |
V1( 14sek):    4 |****           |
E (  1sek):    3 |***            |
V1(  2sek):    4 |****           |
E (  1sek):    4 |****           |
V2(  9sek):    3 |***            |
V4( 10sek):    4 |****           |
V5( 13sek):    3 |***            |
E (  1sek):    1 |*              |
V6( 11sek):    2 |**             |
V3(  6sek):    2 |**             |
E (  1sek):    0 |               |
V2(  3sek):    1 |*              |
E (  1sek):    0 |               |
V5(  5sek):    1 |*              |
E (  1sek):    1 |*              |
E (  1sek):    1 |*              |
V1(  8sek):    2 |**             |
E (  1sek):    2 |**             |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
E (  1sek):    4 |****           |
E (  1sek):    5 |*****          |
V3( 11sek):    6 |******         |
V4( 13sek):    6 |******         |
V5(  9sek):    5 |*****          |
E (  1sek):    3 |***            |
V1(  7sek):    4 |****           |
V2( 12sek):    4 |****           |
V6( 14sek):    3 |***            |
E (  1sek):    1 |*              |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
E (  1sek):    4 |****           |
E (  1sek):    5 |*****          |
V5(  7sek):    5 |*****          |
V4(  7sek):    5 |*****          |
E (  1sek):    4 |****           |
V5(  2sek):    5 |*****          |
V6(  9sek):    5 |*****          |
V1(  8sek):    5 |*****          |
E (  1sek):    5 |*****          |
E (  1sek):    3 |***            |
V4(  4sek):    4 |****           |
E (  1sek):    3 |***            |
E (  1sek):    4 |****           |
V4(  2sek):    4 |****           |
V3( 13sek):    4 |****           |
V2( 13sek):    4 |****           |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
V2(  2sek):    4 |****           |
E (  1sek):    3 |***            |
E (  1sek):    4 |****           |
V3(  5sek):    5 |*****          |
V5( 10sek):    5 |*****          |
V6(  9sek):    4 |****           |
E (  1sek):    2 |**             |
E (  1sek):    3 |***            |
